image_id,height,width,mean_pixel,flag
ISIC_0030426,450,600,145.68,OK
ISIC_0030786,450,600,138.21,OK
ISIC_0027662,450,600,153.05,OK
ISIC_0029104,450,600,197.43,OK
ISIC_0030520,450,600,176.2,OK
ISIC_0032341,450,600,182.06,OK
ISIC_0029756,450,600,192.82,OK
ISIC_0030874,450,600,127.98,OK
ISIC_0027734,450,600,150.84,OK
ISIC_0027077,450,600,147.74,OK
ISIC_0031435,450,600,134.55,OK
ISIC_0030432,450,600,146.6,OK
ISIC_0024986,450,600,161.5,OK
ISIC_0031555,450,600,131.94,OK
ISIC_0027462,450,600,139.48,OK
ISIC_0025254,450,600,149.75,OK
ISIC_0031660,450,600,156.3,OK
ISIC_0024824,450,600,148.72,OK
ISIC_0030666,450,600,137.71,OK
ISIC_0031293,450,600,139.92,OK
ISIC_0026376,450,600,144.38,OK
ISIC_0031560,450,600,160.42,OK
ISIC_0025809,450,600,162.7,OK
ISIC_0025108,450,600,183.28,OK
ISIC_0029296,450,600,183.76,OK
ISIC_0031646,450,600,153.6,OK
ISIC_0031385,450,600,166.97,OK
ISIC_0030741,450,600,141.76,OK
ISIC_0028367,450,600,151.59,OK
ISIC_0030371,450,600,162.18,OK
ISIC_0028401,450,600,162.08,OK
ISIC_0027427,450,600,142.44,OK
ISIC_0026389,450,600,147.73,OK
ISIC_0025428,450,600,145.59,OK
ISIC_0031618,450,600,141.58,OK
ISIC_0025847,450,600,148.72,OK
ISIC_0025958,450,600,152.19,OK
ISIC_0028385,450,600,141.17,OK
ISIC_0029615,450,600,145.2,OK
ISIC_0027403,450,600,153.54,OK
ISIC_0024618,450,600,141.45,OK
ISIC_0031059,450,600,144.97,OK
ISIC_0030355,450,600,148.58,OK
ISIC_0024906,450,600,160.85,OK
ISIC_0025073,450,600,147.32,OK
ISIC_0027031,450,600,144.01,OK
ISIC_0024813,450,600,149.41,OK
ISIC_0031142,450,600,149.44,OK
ISIC_0026887,450,600,139.84,OK
ISIC_0025568,450,600,130.79,OK
ISIC_0025943,450,600,191.98,OK
ISIC_0028803,450,600,172.7,OK
ISIC_0027406,450,600,150.03,OK
ISIC_0030273,450,600,154.68,OK
ISIC_0027249,450,600,145.95,OK
ISIC_0031563,450,600,153.16,OK
ISIC_0029653,450,600,157.46,OK
ISIC_0029374,450,600,159.78,OK
ISIC_0032209,450,600,173.31,OK
ISIC_0028194,450,600,183.37,OK
ISIC_0031404,450,600,138.16,OK
ISIC_0026569,450,600,186.15,OK
ISIC_0027848,450,600,143.82,OK
ISIC_0028971,450,600,160.74,OK
ISIC_0031145,450,600,146.78,OK
ISIC_0028430,450,600,172.75,OK
ISIC_0024842,450,600,205.4,OK
ISIC_0027640,450,600,182.86,OK
ISIC_0027839,450,600,180.41,OK
ISIC_0029072,450,600,221.4,OK
ISIC_0027718,450,600,165.75,OK
ISIC_0028918,450,600,183.87,OK
ISIC_0030697,450,600,162.26,OK
ISIC_0028293,450,600,155.42,OK
ISIC_0029093,450,600,165.82,OK
ISIC_0032428,450,600,176.8,OK
ISIC_0032342,450,600,165.61,OK
ISIC_0024642,450,600,178.79,OK
ISIC_0027264,450,600,203.56,OK
ISIC_0026012,450,600,159.38,OK
ISIC_0029752,450,600,163.8,OK
ISIC_0027198,450,600,155.67,OK
ISIC_0025779,450,600,185.64,OK
ISIC_0026140,450,600,191.14,OK
ISIC_0032086,450,600,178.48,OK
ISIC_0026251,450,600,198.11,OK
ISIC_0028413,450,600,182.79,OK
ISIC_0025959,450,600,174.96,OK
ISIC_0032985,450,600,171.93,OK
ISIC_0028633,450,600,134.97,OK
ISIC_0028453,450,600,182.49,OK
ISIC_0028154,450,600,159.81,OK
ISIC_0025672,450,600,167.39,OK
ISIC_0030664,450,600,180.71,OK
ISIC_0031733,450,600,180.6,OK
ISIC_0027240,450,600,163.7,OK
ISIC_0028332,450,600,192.16,OK
ISIC_0031678,450,600,197.23,OK
ISIC_0032334,450,600,172.84,OK
ISIC_0030609,450,600,177.07,OK
ISIC_0027987,450,600,173.53,OK
ISIC_0032257,450,600,185.62,OK
ISIC_0024314,450,600,179.7,OK
ISIC_0026722,450,600,199.73,OK
ISIC_0031663,450,600,185.8,OK
ISIC_0031883,450,600,210.19,OK
ISIC_0030858,450,600,187.13,OK
ISIC_0024988,450,600,194.75,OK
ISIC_0032158,450,600,172.91,OK
ISIC_0029719,450,600,197.92,OK
ISIC_0024798,450,600,147.71,OK
ISIC_0025152,450,600,172.65,OK
ISIC_0027235,450,600,151.94,OK
ISIC_0027152,450,600,175.08,OK
ISIC_0029045,450,600,161.92,OK
ISIC_0031160,450,600,178.47,OK
ISIC_0029735,450,600,166.31,OK
ISIC_0027684,450,600,168.4,OK
ISIC_0028010,450,600,144.63,OK
ISIC_0026552,450,600,164.1,OK
ISIC_0029985,450,600,133.47,OK
ISIC_0024891,450,600,155.78,OK
ISIC_0024934,450,600,196.67,OK
ISIC_0025442,450,600,168.95,OK
ISIC_0028461,450,600,177.05,OK
ISIC_0031474,450,600,199.14,OK
ISIC_0026666,450,600,174.43,OK
ISIC_0027878,450,600,139.42,OK
ISIC_0026813,450,600,127.13,OK
ISIC_0028950,450,600,146.92,OK
ISIC_0026785,450,600,170.75,OK
ISIC_0025399,450,600,184.89,OK
ISIC_0025229,450,600,183.05,OK
ISIC_0028956,450,600,185.01,OK
ISIC_0026288,450,600,190.34,OK
ISIC_0026121,450,600,187.44,OK
ISIC_0028073,450,600,187.89,OK
ISIC_0026756,450,600,199.33,OK
ISIC_0024728,450,600,181.06,OK
ISIC_0026943,450,600,188.77,OK
ISIC_0029077,450,600,181.06,OK
ISIC_0028614,450,600,183.05,OK
ISIC_0030739,450,600,177.21,OK
ISIC_0028605,450,600,177.89,OK
ISIC_0025418,450,600,150.18,OK
ISIC_0032465,450,600,176.98,OK
ISIC_0032354,450,600,191.39,OK
ISIC_0026982,450,600,152.16,OK
ISIC_0028099,450,600,154.47,OK
ISIC_0024639,450,600,145.13,OK
ISIC_0024569,450,600,149.52,OK
ISIC_0028348,450,600,141.78,OK
ISIC_0028919,450,600,169.73,OK
ISIC_0025569,450,600,156.29,OK
ISIC_0032261,450,600,136.27,OK
ISIC_0024359,450,600,123.81,OK
ISIC_0032077,450,600,173.12,OK
ISIC_0030051,450,600,140.0,OK
ISIC_0030656,450,600,168.58,OK
ISIC_0028435,450,600,146.42,OK
ISIC_0028526,450,600,141.15,OK
ISIC_0029907,450,600,173.49,OK
ISIC_0026390,450,600,175.83,OK
ISIC_0028295,450,600,170.13,OK
ISIC_0032142,450,600,146.3,OK
ISIC_0031420,450,600,146.57,OK
ISIC_0029916,450,600,142.51,OK
ISIC_0030611,450,600,159.47,OK
ISIC_0027414,450,600,163.18,OK
ISIC_0027199,450,600,126.48,OK
ISIC_0027929,450,600,149.57,OK
ISIC_0030753,450,600,144.37,OK
ISIC_0027494,450,600,170.86,OK
ISIC_0025124,450,600,180.6,OK
ISIC_0027029,450,600,151.27,OK
ISIC_0031920,450,600,180.43,OK
ISIC_0027565,450,600,153.98,OK
ISIC_0028053,450,600,124.78,OK
ISIC_0026315,450,600,151.86,OK
ISIC_0028700,450,600,123.17,OK
ISIC_0026807,450,600,166.19,OK
ISIC_0029066,450,600,175.71,OK
ISIC_0027074,450,600,142.54,OK
ISIC_0025025,450,600,144.67,OK
ISIC_0030996,450,600,139.58,OK
ISIC_0024502,450,600,157.92,OK
ISIC_0032350,450,600,179.59,OK
ISIC_0027158,450,600,175.91,OK
ISIC_0027778,450,600,166.59,OK
ISIC_0027123,450,600,169.56,OK
ISIC_0030619,450,600,153.31,OK
ISIC_0030453,450,600,178.11,OK
ISIC_0029677,450,600,159.6,OK
ISIC_0029259,450,600,152.35,OK
ISIC_0027860,450,600,124.44,OK
ISIC_0027363,450,600,161.51,OK
ISIC_0028845,450,600,141.74,OK
ISIC_0029601,450,600,149.65,OK
ISIC_0025002,450,600,168.22,OK
ISIC_0032477,450,600,162.76,OK
ISIC_0028654,450,600,134.5,OK
ISIC_0031869,450,600,122.15,OK
ISIC_0025380,450,600,171.76,OK
ISIC_0027088,450,600,170.46,OK
ISIC_0026199,450,600,143.1,OK
ISIC_0031589,450,600,161.29,OK
ISIC_0029996,450,600,149.89,OK
ISIC_0030503,450,600,145.47,OK
ISIC_0031084,450,600,178.76,OK
ISIC_0024423,450,600,148.83,OK
ISIC_0026800,450,600,173.44,OK
ISIC_0027733,450,600,168.0,OK
ISIC_0030430,450,600,197.57,OK
ISIC_0027968,450,600,144.02,OK
ISIC_0028953,450,600,168.75,OK
ISIC_0028832,450,600,139.79,OK
ISIC_0026833,450,600,186.42,OK
ISIC_0031944,450,600,132.88,OK
ISIC_0028590,450,600,124.0,OK
ISIC_0030670,450,600,122.34,OK
ISIC_0027011,450,600,146.58,OK
ISIC_0031161,450,600,133.77,OK
ISIC_0032089,450,600,183.92,OK
ISIC_0029164,450,600,142.84,OK
ISIC_0030496,450,600,143.58,OK
ISIC_0030045,450,600,122.46,OK
ISIC_0029777,450,600,143.13,OK
ISIC_0031267,450,600,144.53,OK
ISIC_0029403,450,600,136.27,OK
ISIC_0028547,450,600,145.19,OK
ISIC_0031566,450,600,157.31,OK
ISIC_0031006,450,600,152.61,OK
ISIC_0029727,450,600,163.4,OK
ISIC_0026408,450,600,176.25,OK
ISIC_0027314,450,600,156.36,OK
ISIC_0025839,450,600,150.73,OK
ISIC_0025483,450,600,170.28,OK
ISIC_0027842,450,600,147.26,OK
ISIC_0028630,450,600,111.94,OK
ISIC_0029159,450,600,167.72,OK
ISIC_0026605,450,600,164.94,OK
ISIC_0030889,450,600,172.28,OK
ISIC_0027866,450,600,152.8,OK
ISIC_0029416,450,600,169.51,OK
ISIC_0028533,450,600,139.39,OK
ISIC_0031433,450,600,173.45,OK
ISIC_0024486,450,600,170.93,OK
ISIC_0028172,450,600,150.99,OK
ISIC_0025862,450,600,151.54,OK
ISIC_0024419,450,600,169.69,OK
ISIC_0031139,450,600,159.1,OK
ISIC_0026969,450,600,146.1,OK
ISIC_0024576,450,600,168.74,OK
ISIC_0025741,450,600,145.31,OK
ISIC_0028149,450,600,171.38,OK
ISIC_0030431,450,600,195.07,OK
ISIC_0029813,450,600,159.82,OK
ISIC_0026757,450,600,161.25,OK
ISIC_0027587,450,600,150.36,OK
ISIC_0025426,450,600,138.82,OK
ISIC_0028704,450,600,140.23,OK
ISIC_0032506,450,600,147.8,OK
ISIC_0024892,450,600,179.22,OK
ISIC_0025901,450,600,170.28,OK
ISIC_0032324,450,600,131.6,OK
ISIC_0025760,450,600,183.89,OK
ISIC_0028001,450,600,160.28,OK
ISIC_0027716,450,600,157.83,OK
ISIC_0031576,450,600,165.84,OK
ISIC_0026856,450,600,176.17,OK
ISIC_0029507,450,600,150.16,OK
ISIC_0032495,450,600,144.87,OK
ISIC_0029255,450,600,164.48,OK
ISIC_0025737,450,600,157.24,OK
ISIC_0026725,450,600,165.1,OK
ISIC_0029400,450,600,177.1,OK
ISIC_0030190,450,600,166.08,OK
ISIC_0028300,450,600,157.69,OK
ISIC_0030571,450,600,140.0,OK
ISIC_0032418,450,600,140.23,OK
ISIC_0027625,450,600,164.08,OK
ISIC_0026873,450,600,160.85,OK
ISIC_0030347,450,600,166.55,OK
ISIC_0028327,450,600,170.33,OK
ISIC_0028955,450,600,177.56,OK
ISIC_0024873,450,600,187.18,OK
ISIC_0025522,450,600,122.91,OK
ISIC_0028068,450,600,153.03,OK
ISIC_0030054,450,600,164.82,OK
ISIC_0025139,450,600,140.17,OK
ISIC_0027628,450,600,178.51,OK
ISIC_0026180,450,600,179.16,OK
ISIC_0027947,450,600,168.58,OK
ISIC_0026003,450,600,159.43,OK
ISIC_0026932,450,600,166.73,OK
ISIC_0031361,450,600,142.06,OK
ISIC_0031195,450,600,140.58,OK
ISIC_0027690,450,600,132.89,OK
ISIC_0030985,450,600,147.46,OK
ISIC_0027630,450,600,161.16,OK
ISIC_0025308,450,600,164.88,OK
ISIC_0024650,450,600,164.63,OK
ISIC_0032161,450,600,171.96,OK
ISIC_0026673,450,600,150.97,OK
ISIC_0029120,450,600,124.61,OK
ISIC_0032392,450,600,130.18,OK
ISIC_0029509,450,600,103.32,OK
ISIC_0029799,450,600,113.85,OK
ISIC_0031815,450,600,179.3,OK
ISIC_0025356,450,600,173.95,OK
ISIC_0031744,450,600,186.24,OK
ISIC_0030728,450,600,179.62,OK
ISIC_0027222,450,600,175.25,OK
ISIC_0028178,450,600,150.2,OK
ISIC_0028437,450,600,145.63,OK
ISIC_0029785,450,600,144.37,OK
ISIC_0026736,450,600,150.02,OK
ISIC_0027779,450,600,155.31,OK
ISIC_0028444,450,600,155.83,OK
ISIC_0026772,450,600,146.95,OK
ISIC_0027633,450,600,133.72,OK
ISIC_0028828,450,600,155.29,OK
ISIC_0029224,450,600,146.66,OK
ISIC_0029333,450,600,154.13,OK
ISIC_0026274,450,600,160.67,OK
ISIC_0029411,450,600,155.87,OK
ISIC_0025888,450,600,148.42,OK
ISIC_0025682,450,600,177.07,OK
ISIC_0029105,450,600,137.63,OK
ISIC_0032068,450,600,156.16,OK
ISIC_0028341,450,600,141.34,OK
ISIC_0027899,450,600,130.46,OK
ISIC_0026431,450,600,152.06,OK
ISIC_0025893,450,600,145.45,OK
ISIC_0028440,450,600,135.53,OK
ISIC_0024983,450,600,132.13,OK
ISIC_0026935,450,600,142.32,OK
ISIC_0032296,450,600,172.1,OK
ISIC_0025745,450,600,135.24,OK
ISIC_0028456,450,600,135.77,OK
ISIC_0029511,450,600,154.77,OK
ISIC_0031452,450,600,172.83,OK
ISIC_0025048,450,600,149.1,OK
ISIC_0025230,450,600,145.43,OK
ISIC_0030388,450,600,188.71,OK
ISIC_0025828,450,600,157.35,OK
ISIC_0030499,450,600,156.67,OK
ISIC_0026578,450,600,174.94,OK
ISIC_0031921,450,600,169.09,OK
ISIC_0029955,450,600,178.85,OK
ISIC_0031472,450,600,180.04,OK
ISIC_0031658,450,600,176.15,OK
ISIC_0030726,450,600,154.56,OK
ISIC_0026619,450,600,152.5,OK
ISIC_0030270,450,600,125.88,OK
ISIC_0028452,450,600,122.82,OK
ISIC_0031365,450,600,149.65,OK
ISIC_0025349,450,600,170.88,OK
ISIC_0027169,450,600,151.15,OK
ISIC_0029155,450,600,117.87,OK
ISIC_0032301,450,600,141.23,OK
ISIC_0029200,450,600,141.29,OK
ISIC_0026285,450,600,122.66,OK
ISIC_0029415,450,600,121.79,OK
ISIC_0024609,450,600,162.63,OK
ISIC_0026878,450,600,147.78,OK
ISIC_0028292,450,600,127.54,OK
ISIC_0029098,450,600,191.27,OK
ISIC_0031497,450,600,164.0,OK
ISIC_0031673,450,600,176.09,OK
ISIC_0028005,450,600,173.73,OK
ISIC_0032118,450,600,135.11,OK
ISIC_0031448,450,600,126.29,OK
ISIC_0025912,450,600,141.85,OK
ISIC_0028031,450,600,130.18,OK
ISIC_0025191,450,600,139.99,OK
ISIC_0027986,450,600,171.03,OK
ISIC_0029069,450,600,155.84,OK
ISIC_0024655,450,600,150.11,OK
ISIC_0029447,450,600,148.82,OK
ISIC_0028946,450,600,171.91,OK
ISIC_0030497,450,600,138.55,OK
ISIC_0026176,450,600,143.18,OK
ISIC_0029481,450,600,157.89,OK
ISIC_0030952,450,600,171.95,OK
ISIC_0027805,450,600,180.89,OK
ISIC_0025961,450,600,163.09,OK
ISIC_0029356,450,600,174.57,OK
ISIC_0030600,450,600,164.77,OK
ISIC_0029763,450,600,151.38,OK
ISIC_0028334,450,600,137.13,OK
ISIC_0031841,450,600,155.35,OK
ISIC_0027844,450,600,155.19,OK
ISIC_0029670,450,600,142.21,OK
ISIC_0026646,450,600,129.57,OK
ISIC_0025455,450,600,125.21,OK
ISIC_0028129,450,600,157.54,OK
ISIC_0031507,450,600,141.17,OK
ISIC_0030157,450,600,121.41,OK
ISIC_0025263,450,600,150.46,OK
ISIC_0030020,450,600,136.7,OK
ISIC_0027952,450,600,165.33,OK
ISIC_0025625,450,600,164.09,OK
ISIC_0025347,450,600,155.74,OK
ISIC_0030807,450,600,176.36,OK
ISIC_0027946,450,600,184.25,OK
ISIC_0032485,450,600,162.76,OK
ISIC_0028342,450,600,169.22,OK
ISIC_0032119,450,600,162.28,OK
ISIC_0030301,450,600,141.41,OK
ISIC_0024797,450,600,125.16,OK
ISIC_0029804,450,600,168.89,OK
ISIC_0031731,450,600,183.46,OK
ISIC_0031147,450,600,187.24,OK
ISIC_0029694,450,600,131.79,OK
ISIC_0024531,450,600,133.31,OK
ISIC_0024368,450,600,132.06,OK
ISIC_0024397,450,600,119.65,OK
ISIC_0031327,450,600,142.53,OK
ISIC_0027493,450,600,165.31,OK
ISIC_0031807,450,600,149.98,OK
ISIC_0029739,450,600,158.06,OK
ISIC_0031805,450,600,154.14,OK
ISIC_0031152,450,600,179.31,OK
ISIC_0027054,450,600,177.83,OK
ISIC_0030257,450,600,180.85,OK
ISIC_0028574,450,600,166.79,OK
ISIC_0028716,450,600,138.58,OK
ISIC_0030075,450,600,168.11,OK
ISIC_0028328,450,600,169.6,OK
ISIC_0031688,450,600,170.15,OK
ISIC_0032282,450,600,170.66,OK
ISIC_0029750,450,600,173.9,OK
ISIC_0031347,450,600,146.52,OK
ISIC_0024991,450,600,165.91,OK
ISIC_0030908,450,600,173.53,OK
ISIC_0026684,450,600,175.46,OK
ISIC_0030725,450,600,177.73,OK
ISIC_0028061,450,600,170.86,OK
ISIC_0027547,450,600,174.35,OK
ISIC_0028726,450,600,147.91,OK
ISIC_0032055,450,600,151.58,OK
ISIC_0031518,450,600,150.85,OK
ISIC_0034146,450,600,141.63,OK
ISIC_0033964,450,600,163.37,OK
ISIC_0032951,450,600,161.24,OK
ISIC_0033652,450,600,159.99,OK
ISIC_0033944,450,600,120.87,OK
ISIC_0032717,450,600,144.09,OK
ISIC_0032651,450,600,160.82,OK
ISIC_0033699,450,600,169.67,OK
ISIC_0033915,450,600,140.85,OK
ISIC_0032784,450,600,189.3,OK
ISIC_0033459,450,600,147.51,OK
ISIC_0032710,450,600,177.15,OK
ISIC_0032767,450,600,169.35,OK
ISIC_0033503,450,600,165.09,OK
ISIC_0033795,450,600,147.15,OK
ISIC_0032558,450,600,147.0,OK
ISIC_0033207,450,600,147.96,OK
ISIC_0032711,450,600,149.14,OK
ISIC_0033345,450,600,146.19,OK
ISIC_0032374,450,600,174.25,OK
ISIC_0025855,450,600,168.78,OK
ISIC_0026084,450,600,171.85,OK
ISIC_0025262,450,600,162.39,OK
ISIC_0030085,450,600,174.1,OK
ISIC_0029348,450,600,188.71,OK
ISIC_0031202,450,600,169.21,OK
ISIC_0032679,450,600,141.22,OK
ISIC_0030892,450,600,189.28,OK
ISIC_0028159,450,600,156.02,OK
ISIC_0030899,450,600,181.2,OK
ISIC_0031757,450,600,194.46,OK
ISIC_0025541,450,600,178.78,OK
ISIC_0025117,450,600,163.66,OK
ISIC_0032009,450,600,155.16,OK
ISIC_0032641,450,600,134.02,OK
ISIC_0030429,450,600,180.93,OK
ISIC_0028500,450,600,162.46,OK
ISIC_0032529,450,600,178.86,OK
ISIC_0033850,450,600,139.42,OK
ISIC_0033521,450,600,154.89,OK
ISIC_0032623,450,600,164.82,OK
ISIC_0032821,450,600,179.08,OK
ISIC_0032783,450,600,164.7,OK
ISIC_0034139,450,600,172.18,OK
ISIC_0034133,450,600,143.42,OK
ISIC_0034042,450,600,146.24,OK
ISIC_0032595,450,600,146.89,OK
ISIC_0034281,450,600,160.51,OK
ISIC_0034152,450,600,172.45,OK
ISIC_0033739,450,600,154.32,OK
ISIC_0034020,450,600,158.73,OK
ISIC_0033727,450,600,172.71,OK
ISIC_0033827,450,600,154.04,OK
ISIC_0033497,450,600,135.04,OK
ISIC_0033370,450,600,150.01,OK
ISIC_0032901,450,600,152.43,OK
ISIC_0034131,450,600,155.79,OK
ISIC_0032811,450,600,155.12,OK
ISIC_0032671,450,600,148.23,OK
ISIC_0032566,450,600,155.72,OK
ISIC_0033059,450,600,152.34,OK
ISIC_0033113,450,600,148.79,OK
ISIC_0033547,450,600,126.74,OK
ISIC_0033172,450,600,156.85,OK
ISIC_0033326,450,600,126.96,OK
ISIC_0033119,450,600,162.97,OK
ISIC_0032743,450,600,167.78,OK
ISIC_0033610,450,600,186.18,OK
ISIC_0033100,450,600,177.85,OK
ISIC_0033388,450,600,159.1,OK
ISIC_0033009,450,600,151.64,OK
ISIC_0032928,450,600,156.62,OK
